epoch;acc;loss;lr;val_acc;val_loss
0;0.4851282;223.1393665176783;0.001;0.50409836;96.89463243328157
1;0.48615384;56.34172690953964;0.001;0.50409836;29.555998380066917
2;0.49076924;18.589990074940218;0.001;0.5;10.900564381333648
3;0.50051284;7.456848539694762;0.001;0.50409836;4.90195725394077
4;0.48410258;3.635045702518561;0.001;0.49590164;2.676736859024548
5;0.5092308;2.1636000273777887;0.001;0.50409836;1.7149793026877231
6;0.49641025;1.5083953449053642;0.001;0.51229507;1.3143111174223854
7;0.48410258;1.2243919626871744;0.001;0.50409836;1.0930431358149795
8;0.49128205;1.0805678603588007;0.001;0.50409836;0.9915085825763765
9;0.5020513;0.9575940126027817;0.001;0.49590164;0.9026787212637605
10;0.4994872;0.9068032375971476;0.001;0.48770493;0.9060769550135879
11;0.4994872;0.9109966391172164;0.001;0.50409836;0.849079894237831
12;0.4974359;0.8610037487592452;0.001;0.50409836;0.9462730689126937
13;0.48307693;0.8516911632586748;0.001;0.50409836;0.8225427875753308
14;0.50461537;0.8272877210225814;0.001;0.5;0.789352858652834
15;0.4969231;0.8149853119483361;0.001;0.48155737;0.8231681145605494
16;0.48410258;0.8157883874575297;0.001;0.50409836;0.8452044363881721
17;0.4969231;0.7966303827823736;0.001;0.50409836;0.794511863442718
18;0.4846154;0.7867450719001966;0.001;0.49590164;0.7765280467564942
19;0.48666668;0.8179468794969412;0.001;0.4897541;0.7907396506090634
20;0.4902564;0.7890078135025806;0.001;0.50409836;10.608533218258717
21;0.4969231;0.8064086377315032;0.001;0.48565573;1.2215017412529616
22;0.50256413;0.8314949557720086;0.001;0.49590164;2.170670614867914
23;0.49846154;0.7954333926469852;0.001;0.50409836;0.7680858246615676
24;0.50769234;0.7865956947742364;0.001;0.50409836;0.8042884732856125
25;0.50769234;0.7946653701708867;0.001;0.50409836;0.8108352696309324
26;0.50153846;0.7693466746501434;0.001;0.50409836;0.7814500273251143
27;0.50871795;0.8064106002220741;0.001;0.50409836;0.7710110926237262
28;0.49179488;0.7670377295445173;0.001;0.50409836;0.7420300274598793
29;0.5205128;0.7506676642711346;0.001;0.50409836;0.8042275446360229
30;0.4928205;0.8095695479710897;0.001;0.50409836;0.7505948191783467
31;0.525641;0.7728315329551697;0.001;0.50409836;1.748661985162829
32;0.48051283;0.7943645551877144;0.001;0.49590164;0.7296764537936351
33;0.4902564;0.7483455137717419;0.001;0.49590164;0.7479405520392246
34;0.50461537;0.7619311291743548;0.001;0.48360655;0.7459838966854283
35;0.5082051;0.7523338372890765;0.001;0.50409836;0.7426431052020339
36;0.5020513;0.7547015077028519;0.001;0.49590164;0.7803020252556098
37;0.5097436;0.7430633228253095;0.001;0.50409836;0.7650577328244194
38;0.50564104;0.7764525225223639;0.001;0.50409836;0.7833699769661074
39;0.46871796;0.7537528896331787;0.001;0.49590164;0.7110265825615555
40;0.5082051;0.7488946072260538;0.001;0.49590164;0.9156649014988884
41;0.52358973;0.7416052295000125;0.001;0.50409836;0.7627983757706939
42;0.47076923;0.7721145190948095;0.001;0.49590164;0.8249884853597547
43;0.494359;0.7728937105643443;0.001;0.50409836;0.7262421768219745
44;0.4871795;0.7555246298129742;0.001;0.50409836;0.7638160889265967
45;0.4928205;0.751278823461288;0.001;0.49590164;0.7286669914839697
46;0.50564104;0.740922895089174;0.001;0.50409836;0.7316919770397123
47;0.4928205;0.7375725702139048;0.001;0.51229507;0.7244072429469375
48;0.47846153;0.7277200352228604;0.001;0.48770493;0.7190488479176506
49;0.50871795;0.7317509750830822;0.001;0.49590164;0.7211279282804395
50;0.50051284;0.7573694626490275;0.001;0.4795082;0.7254539210288251
51;0.49589744;0.7375506880344489;0.001;0.50409836;0.7332900596446679
52;0.4974359;0.7447887281882457;0.001;0.49590164;0.7228072998953647
53;0.48666668;0.7484262036665892;0.001;0.49590164;0.7202247596177899
54;0.4625641;0.7766754388197874;0.001;0.50409836;0.8404323673639141
55;0.49384615;0.7736053707660773;0.001;0.50409836;1.035572611894764
56;0.51897436;0.7664239435929519;0.001;0.50409836;0.7171305935890948
57;0.48923078;0.717585900869125;0.001;0.50409836;0.7356006424935138
58;0.5010256;0.7708228993415832;0.001;0.49590164;0.7117009925060584
59;0.5061538;0.7672258252975268;0.001;0.47131148;0.7529458599012406
60;0.49179488;0.7250505888767731;0.001;0.49590164;0.729687083940037
61;0.5041026;0.7196530511440374;0.001;0.49590164;0.7191264492566468
62;0.49384615;0.7293947758430089;0.001;0.47131148;0.7261019544523271
63;0.50358975;0.7352142072335268;0.001;0.50409836;0.7367263436317444
64;0.5102564;0.7316045695084792;0.001;0.50409836;0.7088003764387036
65;0.49641025;0.7613863306779128;0.001;0.49590164;0.7798746941519565
66;0.4969231;0.7625493888365916;0.001;0.5;0.7928403615951538
67;0.4923077;0.7468404065034329;0.001;0.50409836;0.7016283801344575
68;0.48564103;0.7201331885044391;0.001;0.50409836;0.7384057533545573
69;0.48871794;0.7580084857573876;0.001;0.49590164;0.7241528053752712
70;0.52102566;0.7138127545821361;0.001;0.49590164;0.7060806526512396
71;0.49128205;0.718518239901616;0.001;0.50409836;0.7103234216815135
72;0.5051282;0.7243914616413606;0.001;0.49590164;0.723172770171869
73;0.49128205;0.7205602865952712;0.001;0.49590164;0.7273568002904047
74;0.47692308;0.756725871073894;0.001;0.51229507;0.7088063408116825
75;0.49179488;0.748963737487793;0.001;0.50409836;0.7957574129104614
76;0.52358973;0.7112218500406314;0.001;0.5;0.7221039748582684
77;0.50358975;0.7196382894882789;0.001;0.49590164;0.7215184608443839
78;0.50051284;0.7600753196080525;0.001;0.50409836;0.7154533921695146
79;0.50153846;0.7306933766144973;0.001;0.49590164;0.7331253241320126
80;0.4953846;0.7698807961512835;0.001;0.49590164;0.9536913105698882
81;0.4928205;0.7298281062566317;0.001;0.50409836;0.7185329472432371
82;0.4969231;0.7118261233354226;0.001;0.50409836;0.7183770635088936
83;0.50051284;0.7684850189624689;0.001;0.49590164;0.8165168674265753
84;0.4851282;0.7377639821859506;0.001;0.49590164;0.7211050098059607
85;0.47948718;0.7244552880067092;0.001;0.50409836;0.718048632144928
86;0.4846154;0.7649968704199179;0.001;0.49795082;0.7249410152435303
87;0.49179488;0.7155813154196128;0.001;0.50409836;0.7061174824589589
88;0.5174359;0.7287891873946557;0.001;0.50409836;0.7240435959862881
89;0.49076924;0.713103701701531;0.001;0.49590164;0.7187578551104812
90;0.4948718;0.7287457236876854;0.001;0.49590164;0.7165556041920771
91;0.49846154;0.7270259475096678;0.001;0.50409836;0.7125565468287859
92;0.49179488;0.7270634133387834;0.001;0.49590164;0.7112785362806476
93;0.5;0.7263141169303503;0.001;0.51229507;0.7780969875757812
94;0.49179488;0.7238910511212471;0.001;0.50409836;0.696617491909715
95;0.4969231;0.7587719346315432;0.001;0.49590164;0.9655688913142095
96;0.47846153;0.8515611026837275;0.001;0.50409836;0.89078480689252
97;0.48205128;0.7437452938617805;0.001;0.49795082;0.7786467876590666
98;0.49333334;0.8250413252145816;0.001;0.49590164;0.7359194579671641
99;0.48153847;0.7551878880843138;0.001;0.50409836;0.7264871313923695
100;0.5148718;0.722751070230435;0.001;0.50409836;0.7299103785733707
101;0.50358975;0.7286231033007304;0.001;0.49590164;0.7270161099121218
102;0.4969231;0.732766170562842;0.001;0.49590164;0.7795161907790137
103;0.5071795;0.7466388846666385;0.001;0.49795082;0.7399063217835348
104;0.4953846;0.7223697502796467;0.001;0.50409836;0.7053598654074748
105;0.51794875;0.7170483226653858;0.001;0.50409836;0.7145113505300928
106;0.4923077;0.7347700579349812;0.001;0.49590164;1.0671202843306495
107;0.48923078;0.7360452184310327;0.001;0.50409836;0.7731672799000975
108;0.49179488;0.7366249396250798;0.001;0.49590164;0.7555862655405139
109;0.4994872;0.7139427663118412;0.001;0.50409836;0.716901921835102
110;0.4948718;0.7494585937720079;0.001;0.50409836;0.7094722917822541
111;0.4953846;0.731217693610069;0.001;0.49590164;0.7223897957410969
