epoch;acc;loss;lr;val_acc;val_loss
0;0.5071795;17.174169532580255;0.001;0.50409836;12.86916609279445
1;0.4974359;7.443948626395984;0.001;0.5020492;5.07361093114634
2;0.49846154;3.9156056364988667;0.001;0.48360655;3.018395791288282
3;0.50358975;2.544989421551044;0.001;0.50409836;2.1368242209074926
4;0.49128205;1.907501817849966;0.001;0.48770493;1.6646444563005791
5;0.5082051;1.5468167460270417;0.001;0.48770493;1.4005253901247119
6;0.5174359;1.3234688844436253;0.001;0.50409836;1.2725572879197167
7;0.5133333;1.1814139891893436;0.001;0.50409836;1.1180133545984987
8;0.5092308;1.0973199971516927;0.001;0.49590164;1.0577591462213485
9;0.4851282;1.0165785299814665;0.001;0.50409836;0.9563076007561605
10;0.5010256;0.9461199301939744;0.001;0.49590164;0.907851556285483
11;0.5071795;0.8976588947345049;0.001;0.49590164;0.878015049168321
12;0.50358975;0.9417473127903082;0.001;0.49590164;16.824260055041705
13;0.48102564;0.8880436646632659;0.001;0.5102459;0.8457749476198291
14;0.48923078;0.8618312663909716;0.001;0.49590164;0.8380977198725841
15;0.5;0.8268817904667977;0.001;0.4918033;0.8040561294946514
16;0.5020513;0.8405011584208562;0.001;0.49590164;0.8018569213445069
17;0.50666666;0.8032229602031219;0.001;0.49795082;0.781893931451391
18;0.5020513;0.7974840418497722;0.001;0.50409836;0.7960106769546134
19;0.5348718;0.8284216436361656;0.001;0.48770493;0.8263205065101874
20;0.48358974;0.7856136870995546;0.001;0.50409836;0.7758839726448059
21;0.51897436;0.783366590768863;0.001;0.50409836;0.7777989008387581
22;0.49384615;0.763476726275224;0.001;0.50409836;0.7446555632059692
23;0.4923077;0.7543755163901892;0.001;0.50409836;0.7497554421424866
24;0.49897435;0.7638914774625729;0.001;0.50409836;0.7383836566424761
25;0.49179488;0.7394288605298751;0.001;0.49590164;0.7255116026909625
26;0.49589744;0.7498547149927188;0.001;0.50409836;0.7358343659854326
27;0.50666666;0.7467267952821194;0.001;0.49590164;0.9010912912790893
28;0.5123077;0.7438295641312233;0.001;0.50409836;0.7412121833347883
29;0.5010256;0.7681789624385345;0.001;0.49590164;43.83882872784724
30;0.48564103;0.7614875630843334;0.001;0.49590164;0.7615071232201623
31;0.47897437;0.7382778475834774;0.001;0.49590164;0.7255369972010128
32;0.48564103;0.7316286810850485;0.001;0.49590164;0.7414415263738788
33;0.48923078;0.7374112461774777;0.001;0.49590164;0.750770739844588
34;0.5;0.7454586154375321;0.001;0.50409836;0.719162248197149
35;0.50358975;0.7467477999589383;0.001;0.46106556;0.7534577592474515
36;0.4969231;0.769677584599226;0.001;0.47336066;0.7322037630393857
37;0.49589744;0.755220093360314;0.001;0.49590164;0.7387584662828289
38;0.511282;0.7408559932464208;0.001;0.50409836;0.7224137724423018
39;0.50153846;0.7265662125440744;0.001;0.50614756;0.7131759172580281
40;0.5041026;0.7348165941238404;0.001;0.50409836;0.7269490390527443
41;0.5041026;0.7388063546327445;0.001;0.4918033;0.7263052737126585
42;0.52153844;0.7299090032699781;0.001;0.49590164;0.7626829293907665
43;0.49589744;0.7625857720619593;0.001;0.49590164;0.7780921126975388
44;0.5010256;0.753275759709187;0.001;0.49590164;0.8235158744405527
45;0.49128205;0.7428558671780121;0.001;0.50409836;0.7646995704682147
46;0.48615384;0.7520082116738344;0.001;0.50409836;0.8399642451864774
47;0.494359;0.7545889397156544;0.001;0.50409836;0.7551117246268225
48;0.4871795;0.7390161109581972;0.001;0.50409836;0.7480466961860657
49;0.4969231;0.7475455943743388;0.001;0.50409836;0.7352302015804854
