epoch;acc;loss;lr;val_acc;val_loss
0;0.4928205;23.70417004316281;0.001;0.49590164;15.318972665755474
1;0.51179487;8.99765216093797;0.001;0.50409836;5.8208480975666985
2;0.5020513;4.353893022048168;0.001;0.4795082;3.248563746936986
3;0.51692307;2.6938616170638645;0.001;0.50409836;2.235541699362583
4;0.48307693;1.9437700643294897;0.001;0.50409836;1.7078931292549508
5;0.4902564;1.5601083953563983;0.001;0.50409836;1.4510546805428677
6;0.4994872;1.3352618992634309;0.001;0.50409836;1.2603643409541396
7;0.4974359;1.202370583949945;0.001;0.49590164;1.188250373621456
8;0.5041026;1.098541356600248;0.001;0.50409836;1.0264053657406667
9;0.48153847;1.013595368923285;0.001;0.47131148;0.9654220792113758
10;0.51589745;0.968782529219603;0.001;0.47131148;0.9207111343008573
11;0.5020513;0.9072883939743042;0.001;0.49590164;0.8724348584159476
12;0.4897436;0.8839761862388024;0.001;0.49590164;177.9372308449667
13;0.48410258;0.9822133862666594;0.001;0.49590164;1.3007479710657088
14;0.4923077;0.8741584065021613;0.001;0.49590164;0.8461831221815015
15;0.48666668;0.8465731673362927;0.001;0.50409836;0.8284901634591525
16;0.51076925;0.8197954821586609;0.001;0.51229507;0.7990114913612115
17;0.50666666;0.798271573201204;0.001;0.522541;0.7724327953135381
18;0.49897435;0.8249270917819096;0.001;0.50409836;2.8494246318692067
19;0.51076925;0.8110167207473363;0.001;0.49590164;0.8704918447088023
20;0.4897436;0.7926836495521741;0.001;0.477459;0.766813440401046
21;0.49333334;0.776807997471247;0.001;0.49590164;0.7529542397280209
22;0.51641023;0.7576116091777116;0.001;0.50409836;0.7505427530554475
23;0.47128206;1.0209113516563024;0.001;0.47336066;0.9986262888204857
24;0.50461537;0.8267610640403552;0.001;0.5020492;0.7968112982687403
25;0.48564103;0.7863103886751028;0.001;0.5020492;0.8074666300757987
26;0.5153846;0.770524758375608;0.001;0.47336066;0.7584976006726749
27;0.47487178;0.7735332583769774;0.001;0.48360655;0.7402728991430314
28;0.4994872;0.7563985498134906;0.001;0.5020492;0.7362105377384873
29;0.47948718;0.7535651195966281;0.001;0.48360655;0.7716894325662832
30;0.4948718;0.7712305095256903;0.001;0.50409836;0.7621530782980998
31;0.4979487;0.8049415062635373;0.001;0.5020492;37.550505528684525
32;0.48615384;0.9468061995506286;0.001;0.49590164;0.7855996704492413
33;0.494359;0.7918899893760681;0.001;0.51229507;0.7466876829256777
34;0.49897435;0.760748255619636;0.001;0.50409836;0.7295843724344597
35;0.5;0.7790017955731123;0.001;0.50409836;0.756803680638798
36;0.50153846;0.7403598847756019;0.001;0.5020492;0.7335349223652824
37;0.5102564;0.7502522578606239;0.001;0.50409836;0.7891599672739623
38;0.50256413;0.7432196036363259;0.001;0.50409836;0.7314944863319397
39;0.50461537;0.7350750275147266;0.001;0.49590164;0.7735009037080358
40;0.48307693;0.8604839810346946;0.001;0.5020492;1.2181812270742949
41;0.49589744;0.7673558744406089;0.001;0.50409836;0.7616570308560231
42;0.4948718;0.7458143564982292;0.001;0.49590164;0.7557687397863044
43;0.49333334;0.7488760008567419;0.001;0.50409836;6.697925806045532
44;0.51692307;0.7597138921419779;0.001;0.5;0.7236372457175958
45;0.50358975;0.7344978622289804;0.001;0.50409836;0.784309868929816
46;0.494359;0.7251097848476508;0.001;0.50409836;0.7238096966118109
47;0.50256413;0.7283681666545379;0.001;0.50409836;0.8498160848852063
48;0.50769234;0.7387067130284432;0.001;0.50409836;0.7708903531559178
49;0.4974359;0.7947594124231583;0.001;0.50409836;5.697154592295162
50;0.4923077;0.7817304239517603;0.001;0.4897541;0.7857473365596084
51;0.49846154;0.7499227534807645;0.001;0.50409836;0.7300030979953829
52;0.48666668;0.7414536306796929;0.001;0.50409836;0.7200072847428869
